bedcount,bedcount_total,Daily,CareProviderLocation,0,223
expenditure_longterm_support_setting,elss_all_types_of_care_home_all_ages,Yearly,LA-National-Regional,1139,325575
expenditure_longterm_support_setting,elss_all_types_of_community_social_care_18_64,Yearly,LA-National-Regional,16,229609
expenditure_longterm_support_setting,elss_all_types_of_community_social_care_65_plus,Yearly,LA-National-Regional,349,122030
expenditure_longterm_support_setting,elss_all_types_of_community_social_care_all_ages,Yearly,LA-National-Regional,365,317868
expenditure_longterm_support_setting,elss_community_direct_payments_18_64,Yearly,LA-National-Regional,16,47477
expenditure_longterm_support_setting,elss_community_direct_payments_65_plus,Yearly,LA-National-Regional,-3841,26137
expenditure_longterm_support_setting,elss_community_direct_payments_all_ages,Yearly,LA-National-Regional,45,65834
expenditure_longterm_support_setting,elss_community_home_care_18_64,Yearly,LA-National-Regional,0,133758
expenditure_longterm_support_setting,elss_community_home_care_65_plus,Yearly,LA-National-Regional,148,92001
expenditure_longterm_support_setting,elss_community_home_care_all_ages,Yearly,LA-National-Regional,148,225759
expenditure_longterm_support_setting,elss_community_other_long_term_care_18_64,Yearly,LA-National-Regional,-4811,40188
expenditure_longterm_support_setting,elss_community_other_long_term_care_65_plus,Yearly,LA-National-Regional,0,18380
expenditure_longterm_support_setting,elss_community_other_long_term_care_all_ages,Yearly,LA-National-Regional,-4412,55903
expenditure_longterm_support_setting,elss_community_supported_living_18_64,Yearly,LA-National-Regional,0,148931
expenditure_longterm_support_setting,elss_community_supported_living_65_plus,Yearly,LA-National-Regional,-207,25935
expenditure_longterm_support_setting,elss_community_supported_living_all_ages,Yearly,LA-National-Regional,0,161495
expenditure_longterm_support_setting,elss_nursing_18_64,Yearly,LA-National-Regional,-1464,13675
expenditure_longterm_support_setting,elss_nursing_65_plus,Yearly,LA-National-Regional,0,118867
expenditure_longterm_support_setting,elss_nursing_all_ages,Yearly,LA-National-Regional,0,127682
expenditure_longterm_support_setting,elss_residential_18_64,Yearly,LA-National-Regional,0,113114
expenditure_longterm_support_setting,elss_residential_65_plus,Yearly,LA-National-Regional,428,140250
expenditure_longterm_support_setting,elss_residential_all_ages,Yearly,LA-National-Regional,881,236813
expenditure_longterm_support_setting,elss_supported_accommodation_18_64,Yearly,LA-National-Regional,-272,71115
expenditure_longterm_support_setting,elss_supported_accommodation_65_plus,Yearly,LA-National-Regional,-11,16033
expenditure_longterm_support_setting,elss_supported_accommodation_all_ages,Yearly,LA-National-Regional,-272,78580
learning_disability_prevalence,learning_disability_prevalence,Financial yearly,LA-National-Regional,0.1,1
median_bed_count,median_bed_count_total,Daily,LA-National-Regional,6,46
median_occupancy,median_occupancy_total,Daily,LA-National-Regional,0,98
num_clients_comm_care,nccc_num_clients_comm_care,Daily,CareProviderLocation-LA-National-Regional,6,15621
num_clients_long_term_support,access_and_mobility_only_physical_support_18_64,Yearly,LA-National-Regional,5,1060
num_clients_long_term_support,access_and_mobility_only_physical_support_18_and_over,Yearly,LA-National-Regional,5,3715
num_clients_long_term_support,access_and_mobility_only_physical_support_65_and_over,Yearly,LA-National-Regional,5,3355
num_clients_long_term_support,asylum_seeker_support_social_support_18_64,Yearly,LA-National-Regional,1,35
num_clients_long_term_support,asylum_seeker_support_social_support_18_and_over,Yearly,LA-National-Regional,0,35
num_clients_long_term_support,asylum_seeker_support_social_support_65_and_over,Yearly,LA-National-Regional,0,5
num_clients_long_term_support,learning_disability_support_18_64,Yearly,LA-National-Regional,10,3710
num_clients_long_term_support,learning_disability_support_18_and_over,Yearly,LA-National-Regional,10,7555
num_clients_long_term_support,learning_disability_support_65_and_over,Yearly,LA-National-Regional,25,4865
num_clients_long_term_support,mental_health_support_18_64,Yearly,LA-National-Regional,5,1255
num_clients_long_term_support,mental_health_support_18_and_over,Yearly,LA-National-Regional,10,1895
num_clients_long_term_support,mental_health_support_65_and_over,Yearly,LA-National-Regional,5,960
num_clients_long_term_support,personal_care_support_physical_support_18_64,Yearly,LA-National-Regional,20,1730
num_clients_long_term_support,personal_care_support_physical_support_18_and_over,Yearly,LA-National-Regional,15,8170
